company                     ,         location              ,         comments
1 & 1 Ionos                 ,         Berlin                ,         ok- but corporation
7 sensing software          ,         Warszawa              ,
ABB                         ,         Kraków                ,
Advertime                   ,         Berlin                ,         from_jobs_stackoverflow
Aeolus Robotics             ,         Wrocław               ,
AIUT                        ,         xxxxxxx               ,
Alten                       ,         Berlin                ,         automotive
Amazon                      ,         Berlin                ,         linkedin
AMBOSS                      ,         Berlin                ,
Antega                      ,         xxxxxx                ,
Apple                       ,         Berlin                ,         kandydatów niby 66/10d
Athenry                     ,         Connacht_Irlandia     ,
Audatic                     ,         Berlin                ,         from_jobs_stackoverflow
AVM GmbH                    ,         Berlin                ,         from_jobs_stackoverflow
Babbel_lesson_nine          ,         Berlin                ,         from_jobs_stackoverflow
Blinklist                   ,         Berlin                ,         spr
Bombardier                  ,         śląsk                 ,
Bose                        ,         Esstingen             ,         audio
Brose group                 ,         Berlin                ,         linkedin
Bruker                      ,         Berlin                ,         linkedin
Brunel                      ,         xxxxxx                ,
Bundesnachrichtendienst     ,         Berlin                ,         from_jobs_stackoverflow
Cadence                     ,         śląsk                 ,
Carmeq                      ,         Berlin                ,
Caterpilar                  ,         Wackersdorf           ,         industrial
Chapman Black               ,         Munich                ,
Cinemo                      ,         xxxxxx                ,         video player- automotive
Computer Futures            ,         Berlin                ,
DCMN                        ,         Berlin                ,         from_jobs_stackoverflow
Delivery Hero               ,         Berlin                ,         from_jobs_stackoverflow
Delivery Hero               ,         xxxxxx                ,         seniorom płacą ok 70kE/Y
Devire                      ,         Wrocław               ,         pośrednik
DIHK Service GmBh           ,         Berlin                ,
Displaylink                 ,         śląsk                 ,
DKB Service GmbH            ,         Berlin                ,         linkedin
Dolby Laboratories          ,         Berlin                ,         linkedin
Eclipse foundation          ,         ?                     ,         wakaama project
Elektrobit                  ,         xxxxxx                ,         automotive
ETAS                        ,         Stuttgart             ,
EZLAB                       ,         śląsk                 ,
Flight scope                ,         śląsk                 ,
FP instruments              ,         śląsk                 ,
Freyer & Siegel Elektronik  ,         Berlin                ,         linkedin
Friday                      ,         Berlin                ,         from_jobs_stackoverflow
GP 9000                     ,         Berlin                ,         linkedin
Grafton                     ,         Śląsk                 ,         pośrednik
Grandperspective            ,         Berlin                ,         from_jobs_stackoverflow
Grinn                       ,         Wrocław               ,
Hangscheng                  ,         Berlin                ,
Hella                       ,         Berlin                ,         automotive- światła
Hexad GmbH                  ,         Berlin                ,
Hypatos                     ,         Berlin                ,         from_jobs_stackoverflow
IAV GmbH                    ,         Berlin                ,         automotive
Idealo internet             ,         Berlin                ,         from_jobs_stackoverflow
Intel                       ,         Gdańsk                ,
Irvine                      ,         California            ,
IT Kontrakt                 ,         xxxxxxx               ,         pośrednik
ITS Berlin                  ,         Berlin                ,         from_jobs_stackoverflow
Kinexon                     ,         Munich                ,
komoot                      ,         Berlin                ,         from_jobs_stackoverflow
L3 Tech                     ,         California            ,
lengoo                      ,         Berlin                ,         from_jobs_stackoverflow
LivaNova                    ,         Munich                ,
MatchX                      ,         Berlin                ,         kandydatów niby 750/14d
Medwing                     ,         Berlin                ,         from_jobs_stackoverflow
Mimi Hearing tech           ,         Berlin                ,         from_jobs_stackoverflow
Moyyn                       ,         Berlin                ,         linkedin
Next Big Thing AG           ,         Berlin                ,         linkedin
Nvidia                      ,         Berlin                ,         linkedin
Oetker Digital              ,         Berlin                ,         from_jobs_stackoverflow
Oviavo                      ,         Berlin                ,         linkedin - fertility solutions -node-react-graphql
Pixtunes GmbH               ,         Berlin                ,         linkedin
QuantCo                     ,         Berlin                ,         from_jobs_stackoverflow
RelayR                      ,         Berlin                ,         firma OK ale ponoc rekrutacja srednia
Schmitz Cargobull           ,         Muenster              ,         industry - trailers
Sentryc                     ,         Berlin                ,         linkedin - spr
sonnen                      ,         Berlin                ,         from_jobs_stackoverflow
Stackfuel                   ,         Berlin                ,         spr
Studydrive                  ,         Berlin                ,         startup-linkedin
SumUp                       ,         Berlin                ,         linkedin
Teraki                      ,         Berlin                ,         automotive
Thales                      ,         Berlin                ,         linkedin
Tier Mobility               ,         Berlin                ,         from_jobs_stackoverflow
Volocopter GmbH             ,         ?                     ,
wirelane                    ,         ?                     ,
Xayn                        ,         Berlin                ,         from_jobs_stackoverflow
Zalando                     ,         Berlin                ,         linkedin
Zattoo                      ,         Berlin                ,         from_jobs_stackoverflow
